ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201819,RA1E004007,SCUOLA PRIMARIA,4,2,31,29
201819,NATDBQ500Q,SCUOLA SECONDARIA II GRADO,5,2,49,21
201819,BGPS02500P,SCUOLA SECONDARIA II GRADO,2,1,14,12
201819,BS1M00600T,SCUOLA SECONDARIA I GRADO,1,3,37,38
201819,NA1E027009,SCUOLA PRIMARIA,2,2,18,25
201819,RM1E119006,SCUOLA PRIMARIA,3,1,7,17
201819,NAPS555009,SCUOLA SECONDARIA II GRADO,1,1,0,1
201819,RM1E186001,SCUOLA PRIMARIA,2,1,12,11
201819,NA1E955002,SCUOLA PRIMARIA,3,1,6,7
201819,REPM01500A,SCUOLA SECONDARIA II GRADO,1,1,11,6
201819,BSPS13500P,SCUOLA SECONDARIA II GRADO,5,1,11,10
201819,NA1E00400L,SCUOLA PRIMARIA,4,1,8,3
201819,PG1E4Q500B,SCUOLA PRIMARIA,3,1,2,2
201819,NA1E15900N,SCUOLA PRIMARIA,2,1,3,11
201819,TO1E03700A,SCUOLA PRIMARIA,5,2,27,24
201819,TO1E00100G,SCUOLA PRIMARIA,2,3,32,30
201819,SA1E00100G,SCUOLA PRIMARIA,5,1,5,8
201819,NA1E20300E,SCUOLA PRIMARIA,4,1,10,12
201819,CTPS09500D,SCUOLA SECONDARIA II GRADO,1,1,1,2
201819,PV1MF4500I,SCUOLA SECONDARIA I GRADO,2,1,8,5
201819,PT1M00200Q,SCUOLA SECONDARIA I GRADO,3,1,15,8
201819,MI1E032007,SCUOLA PRIMARIA,4,2,24,18
201819,PR1E00400G,SCUOLA PRIMARIA,5,2,24,14
201819,FE1E004005,SCUOLA PRIMARIA,1,1,10,11
201819,TV1E01200A,SCUOLA PRIMARIA,3,1,8,18
201819,CETD15500D,SCUOLA SECONDARIA II GRADO,3,1,4,1
201819,CS1E002006,SCUOLA PRIMARIA,1,1,10,9
201819,MIPMAF500I,SCUOLA SECONDARIA II GRADO,5,1,7,2
201819,CR1E00800N,SCUOLA PRIMARIA,4,1,7,13
201819,BSPM57500D,SCUOLA SECONDARIA II GRADO,1,1,26,5
201819,LO1E00400P,SCUOLA PRIMARIA,1,2,20,27
201819,RMPS18500A,SCUOLA SECONDARIA II GRADO,4,1,17,4
201819,MIRH025003,SCUOLA SECONDARIA II GRADO,1,1,19,13
201819,MI1E017005,SCUOLA PRIMARIA,4,3,32,25
201819,BGTD085006,SCUOLA SECONDARIA II GRADO,4,2,20,11
201819,SP1E002008,SCUOLA PRIMARIA,2,1,12,14
201819,PVSL015009,SCUOLA SECONDARIA II GRADO,5,1,2,2
201819,TVPS015003,SCUOLA SECONDARIA II GRADO,5,2,19,8
201819,NOPS03500C,SCUOLA SECONDARIA II GRADO,2,2,33,19
201819,AL1M006003,SCUOLA SECONDARIA I GRADO,3,2,22,18
201819,NA1E150007,SCUOLA PRIMARIA,1,1,5,6
201819,BG1MT0500I,SCUOLA SECONDARIA I GRADO,1,1,12,15
201819,LTTD01500X,SCUOLA SECONDARIA II GRADO,5,1,9,3
201819,NAPL19500R,SCUOLA SECONDARIA II GRADO,3,1,5,11
201819,NA1E12500E,SCUOLA PRIMARIA,3,2,14,15
201819,NAPL41500E,SCUOLA SECONDARIA II GRADO,3,1,1,5
201819,PGPM02500T,SCUOLA SECONDARIA II GRADO,1,1,1,11
201819,NA1M007009,SCUOLA SECONDARIA I GRADO,2,1,9,12
201819,FIPS035009,SCUOLA SECONDARIA II GRADO,4,1,14,9
201819,NA1E18100V,SCUOLA PRIMARIA,5,1,15,12
201819,MIPS175007,SCUOLA SECONDARIA II GRADO,5,2,14,7
201819,FI1E02500D,SCUOLA PRIMARIA,1,1,15,12
201819,PSTF005006,SCUOLA SECONDARIA II GRADO,2,1,28,2
201819,CE1E036006,SCUOLA PRIMARIA,4,1,4,8
201819,FR1E00600C,SCUOLA PRIMARIA,2,1,17,9
201819,CT1E02100P,SCUOLA PRIMARIA,3,1,1,3
201819,MI1E05600Q,SCUOLA PRIMARIA,4,1,7,11
201819,AL1E005002,SCUOLA PRIMARIA,5,1,15,8
201819,VRTN025003,SCUOLA SECONDARIA II GRADO,3,2,12,10
201819,RMPC33500X,SCUOLA SECONDARIA II GRADO,5,1,2,5
201819,NA1E085009,SCUOLA PRIMARIA,3,1,15,6
201819,SAPSNV500C,SCUOLA SECONDARIA II GRADO,2,1,3,6
201819,SVPM02500N,SCUOLA SECONDARIA II GRADO,4,1,7,14
201819,TV1M01200G,SCUOLA SECONDARIA I GRADO,3,3,39,33
201819,RMRH00500A,SCUOLA SECONDARIA II GRADO,1,1,8,2
201819,RMPMPL5008,SCUOLA SECONDARIA II GRADO,1,1,0,4
201819,LTPMSO5002,SCUOLA SECONDARIA II GRADO,4,1,2,1
201819,VIPL02500Q,SCUOLA SECONDARIA II GRADO,5,1,6,15
201819,BSTN01500A,SCUOLA SECONDARIA II GRADO,2,1,5,0
201819,PA1E006005,SCUOLA PRIMARIA,2,1,9,4
201819,RM1M029005,SCUOLA SECONDARIA I GRADO,1,1,15,18
201819,NA1E130002,SCUOLA PRIMARIA,1,2,13,7
201819,TOPQ04500Q,SCUOLA SECONDARIA II GRADO,1,1,16,13
201819,NA1E094004,SCUOLA PRIMARIA,1,1,3,7
201819,NA1E023002,SCUOLA PRIMARIA,3,1,8,2
201819,MITF005006,SCUOLA SECONDARIA II GRADO,5,1,31,0
201819,MIPSEA5006,SCUOLA SECONDARIA II GRADO,1,1,11,5
201819,VR1E00500V,SCUOLA PRIMARIA,2,1,7,12
201819,RM1EZR5005,SCUOLA PRIMARIA,5,1,2,6
201819,BO1E00200P,SCUOLA PRIMARIA,2,2,25,19
201819,SI1E001009,SCUOLA PRIMARIA,5,1,10,13
201819,MIPS055005,SCUOLA SECONDARIA II GRADO,4,2,31,10
201819,BR1E001002,SCUOLA PRIMARIA,3,1,11,8
201819,MI1MVA500E,SCUOLA SECONDARIA I GRADO,2,2,29,17
