ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201718,RMPC455002,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
201718,MIPS09500G,SCUOLA SECONDARIA II GRADO,5,42,42,0,0,0
201718,LC1M08000Q,SCUOLA SECONDARIA I GRADO,3,32,32,0,0,0
201718,VE1E00300G,SCUOLA PRIMARIA,1,20,19,1,1,0
201718,BGTF015006,SCUOLA SECONDARIA II GRADO,4,8,7,1,0,1
201718,NA1E15500A,SCUOLA PRIMARIA,5,24,24,0,0,0
201718,CE1E029003,SCUOLA PRIMARIA,4,11,10,1,0,1
201718,SSTF00500Q,SCUOLA SECONDARIA II GRADO,5,2,2,0,0,0
201718,VV1E00100R,SCUOLA PRIMARIA,5,15,15,0,0,0
201718,CR1E00400A,SCUOLA PRIMARIA,2,25,25,0,0,0
201718,PE1M00200D,SCUOLA SECONDARIA I GRADO,3,21,21,0,0,0
201718,RMPL48500Q,SCUOLA SECONDARIA II GRADO,5,26,25,1,1,0
201718,RCTDAM500N,SCUOLA SECONDARIA II GRADO,5,24,22,2,1,1
201718,CT1M00100P,SCUOLA SECONDARIA I GRADO,2,6,6,0,0,0
201718,BGTFF0500O,SCUOLA SECONDARIA II GRADO,3,17,17,0,0,0
201718,PVPS03500N,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
201718,PA1E02000B,SCUOLA PRIMARIA,5,11,11,0,0,0
201718,RMPC05500E,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
201718,GEPS70500C,SCUOLA SECONDARIA II GRADO,3,50,49,1,1,0
201718,MIPSIE500B,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
201718,SS1E01100Q,SCUOLA PRIMARIA,2,21,20,1,0,1
201718,TS1E006009,SCUOLA PRIMARIA,4,20,19,1,1,0
201718,NA1E007004,SCUOLA PRIMARIA,5,42,42,0,0,0
201718,VVSD00500Q,SCUOLA SECONDARIA II GRADO,2,13,8,5,0,5
201718,TO1E02200L,SCUOLA PRIMARIA,4,49,48,1,0,1
201718,TEPS00500G,SCUOLA SECONDARIA II GRADO,5,37,36,1,0,1
201718,CO1M02300T,SCUOLA SECONDARIA I GRADO,1,21,21,0,0,0
201718,PN1E002004,SCUOLA PRIMARIA,3,33,33,0,0,0
201718,CH1E006003,SCUOLA PRIMARIA,1,13,13,0,0,0
201718,RMRFB3500L,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
201718,FI1E013007,SCUOLA PRIMARIA,4,22,22,0,0,0
201718,NO1M01400B,SCUOLA SECONDARIA I GRADO,3,27,27,0,0,0
201718,GR1E00100D,SCUOLA PRIMARIA,2,40,40,0,0,0
201718,NA1E085009,SCUOLA PRIMARIA,1,14,13,1,1,0
201718,RM1M09700Q,SCUOLA SECONDARIA I GRADO,3,31,31,0,0,0
201718,MI1M07400E,SCUOLA SECONDARIA I GRADO,1,23,20,3,0,3
201718,MI1E08000L,SCUOLA PRIMARIA,5,12,11,1,0,1
201718,TP1E004001,SCUOLA PRIMARIA,2,11,11,0,0,0
201718,RMTD545007,SCUOLA SECONDARIA II GRADO,4,17,16,1,0,1
201718,TO1M00600X,SCUOLA SECONDARIA I GRADO,1,19,19,0,0,0
201718,AVPM03500Q,SCUOLA SECONDARIA II GRADO,2,12,12,0,0,0
201718,NA1E05400N,SCUOLA PRIMARIA,5,52,49,3,0,3
201718,NA1E10800R,SCUOLA PRIMARIA,4,27,27,0,0,0
201718,TETD00500B,SCUOLA SECONDARIA II GRADO,5,23,21,2,1,1
201718,ALPM02500D,SCUOLA SECONDARIA II GRADO,1,12,11,1,0,1
201718,MNPC015004,SCUOLA SECONDARIA II GRADO,5,4,4,0,0,0
201718,CO1M02500D,SCUOLA SECONDARIA I GRADO,2,28,28,0,0,0
201718,BG1E021006,SCUOLA PRIMARIA,5,26,26,0,0,0
201718,PAPM185009,SCUOLA SECONDARIA II GRADO,5,10,10,0,0,0
201718,LTRF05500R,SCUOLA SECONDARIA II GRADO,1,9,9,0,0,0
201718,NARH035007,SCUOLA SECONDARIA II GRADO,5,24,24,0,0,0
201718,RMRH00500A,SCUOLA SECONDARIA II GRADO,4,14,14,0,0,0
201718,FI1E02400N,SCUOLA PRIMARIA,2,25,25,0,0,0
201718,MI1M092004,SCUOLA SECONDARIA I GRADO,3,34,32,2,0,2
201718,RM1E073002,SCUOLA PRIMARIA,4,47,43,4,3,1
201718,RM1E00900P,SCUOLA PRIMARIA,4,25,25,0,0,0
201718,RM1E206001,SCUOLA PRIMARIA,5,22,22,0,0,0
201718,GEPS04500R,SCUOLA SECONDARIA II GRADO,3,34,34,0,0,0
201718,NA1E12500E,SCUOLA PRIMARIA,2,27,27,0,0,0
201718,BS1E02300A,SCUOLA PRIMARIA,4,16,14,2,1,1
201718,MI1E088007,SCUOLA PRIMARIA,5,46,44,2,0,2
201718,BG1E028001,SCUOLA PRIMARIA,3,25,24,1,0,1
201718,NATD455002,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
201718,MNPS00500L,SCUOLA SECONDARIA II GRADO,2,11,11,0,0,0
201718,PAPS5E500M,SCUOLA SECONDARIA II GRADO,2,9,8,1,1,0
201718,FG1E01700T,SCUOLA PRIMARIA,4,16,15,1,0,1
201718,MTPM01500P,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
201718,NA1MU75009,SCUOLA SECONDARIA I GRADO,3,7,7,0,0,0
201718,MIPL125001,SCUOLA SECONDARIA II GRADO,2,209,203,6,2,4
201718,PATD34500B,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
201718,MI1E024008,SCUOLA PRIMARIA,2,19,17,2,0,2
201718,RM1E048009,SCUOLA PRIMARIA,5,22,21,1,0,1
201718,NATH83500T,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201718,PS1E00200B,SCUOLA PRIMARIA,3,22,21,1,0,1
201718,RMTD49500B,SCUOLA SECONDARIA II GRADO,2,12,12,0,0,0
201718,FI1E005008,SCUOLA PRIMARIA,3,19,17,2,0,2
201718,AV1E010005,SCUOLA PRIMARIA,2,35,35,0,0,0
201718,BGPL01500V,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
201718,FGTDO25007,SCUOLA SECONDARIA II GRADO,2,6,6,0,0,0
201718,RM1E00300Q,SCUOLA PRIMARIA,4,56,56,0,0,0
201718,BG1E013007,SCUOLA PRIMARIA,1,23,23,0,0,0
201718,RMPC33500X,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
201718,AL1E00100P,SCUOLA PRIMARIA,1,57,56,1,0,1
201718,BS1E002009,SCUOLA PRIMARIA,2,25,24,1,0,1
201718,SAPS07500A,SCUOLA SECONDARIA II GRADO,3,18,18,0,0,0
201718,TO1E038006,SCUOLA PRIMARIA,2,20,20,0,0,0
201718,NATHA4500E,SCUOLA SECONDARIA II GRADO,5,62,60,2,1,1
201718,VRPL075005,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201718,FIPL005008,SCUOLA SECONDARIA II GRADO,3,8,7,1,0,1
201718,LI1E005009,SCUOLA PRIMARIA,3,44,44,0,0,0
201718,CE1EBT500B,SCUOLA PRIMARIA,4,6,5,1,1,0
201718,VAPLB6500A,SCUOLA SECONDARIA II GRADO,1,10,9,1,0,1
201718,CE1E06700T,SCUOLA PRIMARIA,3,19,18,1,0,1
201718,RM1E02900X,SCUOLA PRIMARIA,4,21,20,1,1,0
201718,BGTL075002,SCUOLA SECONDARIA II GRADO,5,5,4,1,0,1
