ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202021,NATN7V500I,SCUOLA SECONDARIA II GRADO,4,12,12,0,0,0
202021,NAPC00500E,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202021,RC1M00500D,SCUOLA SECONDARIA I GRADO,2,4,4,0,0,0
202021,NATF215004,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
202021,NA1E03200R,SCUOLA PRIMARIA,1,15,15,0,0,0
202021,TORI05500A,SCUOLA SECONDARIA II GRADO,5,4,2,2,0,2
202021,TO1E02600X,SCUOLA PRIMARIA,5,46,46,0,0,0
202021,TO1E004003,SCUOLA PRIMARIA,5,20,20,0,0,0
202021,LITD02500G,SCUOLA SECONDARIA II GRADO,5,50,47,3,0,3
202021,MIPC18500P,SCUOLA SECONDARIA II GRADO,1,21,21,0,0,0
202021,MS1E002007,SCUOLA PRIMARIA,1,20,20,0,0,0
202021,TOPC11500C,SCUOLA SECONDARIA II GRADO,2,6,6,0,0,0
202021,MI1E08600G,SCUOLA PRIMARIA,4,52,49,3,0,3
202021,RM1E193004,SCUOLA PRIMARIA,2,43,42,1,1,0
202021,PO1E001001,SCUOLA PRIMARIA,2,18,17,1,0,1
202021,RCRHGZ500T,SCUOLA SECONDARIA II GRADO,5,36,36,0,0,0
202021,VA1E004001,SCUOLA PRIMARIA,3,18,18,0,0,0
202021,CERH325008,SCUOLA SECONDARIA II GRADO,3,12,12,0,0,0
202021,FIPCI25001,SCUOLA SECONDARIA II GRADO,2,20,20,0,0,0
202021,BG1E005008,SCUOLA PRIMARIA,4,38,37,1,0,1
202021,BOPSHR500B,SCUOLA SECONDARIA II GRADO,5,38,37,1,0,1
202021,MO1E01000G,SCUOLA PRIMARIA,3,36,35,1,0,1
202021,MI1M05800L,SCUOLA SECONDARIA I GRADO,3,43,43,0,0,0
202021,RCTD035005,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202021,NA1E030005,SCUOLA PRIMARIA,2,10,10,0,0,0
202021,RMPS285007,SCUOLA SECONDARIA II GRADO,4,10,10,0,0,0
202021,RM1E028004,SCUOLA PRIMARIA,3,31,30,1,0,1
202021,GO1E002006,SCUOLA PRIMARIA,3,7,7,0,0,0
