ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,PV1E001009,SCUOLA PRIMARIA,4,2,15,11
201920,MI1M063004,SCUOLA SECONDARIA I GRADO,2,4,72,48
201920,RM1EM25008,SCUOLA PRIMARIA,2,1,9,11
201920,NA1E06600X,SCUOLA PRIMARIA,3,2,3,15
201920,BGPSRR5006,SCUOLA SECONDARIA II GRADO,2,1,16,0
201920,PD1E076018,SCUOLA PRIMARIA,5,1,8,12
201920,NA1E03700X,SCUOLA PRIMARIA,4,3,28,21
201920,CHTL31500X,SCUOLA SECONDARIA II GRADO,5,1,9,2
201920,NA1E241009,SCUOLA PRIMARIA,1,1,11,10
201920,TO1MB25008,SCUOLA SECONDARIA I GRADO,2,2,14,17
201920,TO1E07500P,SCUOLA PRIMARIA,4,1,5,10
201920,FI1E00800Q,SCUOLA PRIMARIA,3,1,7,14
201920,FI1E022002,SCUOLA PRIMARIA,1,1,16,15
201920,NA1E130002,SCUOLA PRIMARIA,2,2,13,9
201920,PAPMRG500C,SCUOLA SECONDARIA II GRADO,2,1,1,4
201920,NO1M01200Q,SCUOLA SECONDARIA I GRADO,2,1,12,12
201920,AVPCZU5001,SCUOLA SECONDARIA II GRADO,2,1,0,3
201920,SAPS07500A,SCUOLA SECONDARIA II GRADO,5,1,9,14
201920,PA1E030002,SCUOLA PRIMARIA,1,1,4,4
201920,NUPL015007,SCUOLA SECONDARIA II GRADO,3,1,3,6
201920,BAPLS4500L,SCUOLA SECONDARIA II GRADO,2,1,5,9
201920,NA1E06200L,SCUOLA PRIMARIA,3,3,26,33
201920,BGTD085006,SCUOLA SECONDARIA II GRADO,3,1,14,7
201920,TO1E6M500I,SCUOLA PRIMARIA,2,1,7,11
201920,TO1E05800B,SCUOLA PRIMARIA,5,1,9,15
201920,VE1E01200A,SCUOLA PRIMARIA,3,1,9,8
201920,GE1E033009,SCUOLA PRIMARIA,4,2,15,16
201920,BRTD04500A,SCUOLA SECONDARIA II GRADO,3,1,8,1
201920,RM1E19500Q,SCUOLA PRIMARIA,1,2,14,4
201920,VAPS055003,SCUOLA SECONDARIA II GRADO,5,1,2,4
201920,TOPS125006,SCUOLA SECONDARIA II GRADO,2,1,2,2
201920,CHTD07500E,SCUOLA SECONDARIA II GRADO,1,1,0,1
201920,VATFGA500N,SCUOLA SECONDARIA II GRADO,1,1,3,0
201920,SATF9L500V,SCUOLA SECONDARIA II GRADO,3,1,1,0
201920,PA1EC8500U,SCUOLA PRIMARIA,2,1,6,9
201920,FR1E003001,SCUOLA PRIMARIA,5,1,12,9
201920,RE1E007005,SCUOLA PRIMARIA,2,1,7,15
201920,MBPSIE500B,SCUOLA SECONDARIA II GRADO,2,1,8,9
201920,PAPS82500P,SCUOLA SECONDARIA II GRADO,5,1,16,11
201920,SR1E00600R,SCUOLA PRIMARIA,3,1,11,8
201920,NA1E079002,SCUOLA PRIMARIA,2,1,8,16
201920,RMPS25500B,SCUOLA SECONDARIA II GRADO,4,1,10,10
