ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,RMTF18500C,SCUOLA SECONDARIA II GRADO,2,7,6,1,0,1
201516,RMPSSA500Z,SCUOLA SECONDARIA II GRADO,2,3,2,1,1,0
201516,MI1E04300N,SCUOLA PRIMARIA,3,33,33,0,0,0
201516,BL1E00100G,SCUOLA PRIMARIA,3,28,28,0,0,0
201516,ALRH01500G,SCUOLA SECONDARIA II GRADO,2,30,28,2,0,2
201516,RM1E11200B,SCUOLA PRIMARIA,4,28,27,1,0,1
201516,CETF025003,SCUOLA SECONDARIA II GRADO,2,6,6,0,0,0
201516,PAPM25500A,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
201516,CT1E016007,SCUOLA PRIMARIA,2,25,25,0,0,0
201516,ME1E001008,SCUOLA PRIMARIA,5,27,26,1,0,1
201516,SV1E00400A,SCUOLA PRIMARIA,4,17,16,1,1,0
201516,RCPL02500D,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
201516,PD1E006001,SCUOLA PRIMARIA,4,25,25,0,0,0
201516,TO1E04400D,SCUOLA PRIMARIA,5,30,30,0,0,0
201516,NA1E119007,SCUOLA PRIMARIA,1,28,28,0,0,0
201516,CLTD08500N,SCUOLA SECONDARIA II GRADO,3,10,10,0,0,0
201516,MO1E013003,SCUOLA PRIMARIA,1,18,18,0,0,0
201516,MI1M09300X,SCUOLA SECONDARIA I GRADO,1,57,52,5,0,5
201516,RMPME45007,SCUOLA SECONDARIA II GRADO,2,3,2,1,0,1
201516,RMPL48500Q,SCUOLA SECONDARIA II GRADO,5,28,28,0,0,0
201516,TARI00500A,SCUOLA SECONDARIA II GRADO,4,11,11,0,0,0
201516,RO1M00300G,SCUOLA SECONDARIA I GRADO,3,11,11,0,0,0
201516,RM1M00600C,SCUOLA SECONDARIA I GRADO,2,27,27,0,0,0
201516,MIPM04500G,SCUOLA SECONDARIA II GRADO,5,21,21,0,0,0
201516,SATD245004,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
201516,RCTD035005,SCUOLA SECONDARIA II GRADO,4,3,3,0,0,0
201516,CT1E04700V,SCUOLA PRIMARIA,3,15,14,1,0,1
201516,LT1E01000Q,SCUOLA PRIMARIA,2,20,18,2,1,1
