ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202122,VITB15500E,SCUOLA SECONDARIA II GRADO,5,1,7,0
202122,RMSLVB5007,SCUOLA SECONDARIA II GRADO,5,2,14,34
202122,VRPS01500P,SCUOLA SECONDARIA II GRADO,5,2,21,12
202122,VA1E02200E,SCUOLA PRIMARIA,3,2,12,17
202122,BGPSDM500A,SCUOLA SECONDARIA II GRADO,1,1,15,9
202122,PDTD01500R,SCUOLA SECONDARIA II GRADO,5,1,17,3
202122,CZPC00500G,SCUOLA SECONDARIA II GRADO,3,1,10,4
202122,NATL27500X,SCUOLA SECONDARIA II GRADO,5,2,66,1
202122,BO1E018008,SCUOLA PRIMARIA,3,1,4,8
202122,FE1E004005,SCUOLA PRIMARIA,2,1,13,10
202122,NA1E27400L,SCUOLA PRIMARIA,3,3,18,27
202122,FIPL8A500L,SCUOLA SECONDARIA II GRADO,2,1,4,0
202122,NATDFO5000,SCUOLA SECONDARIA II GRADO,4,1,5,3
202122,GEPS07500L,SCUOLA SECONDARIA II GRADO,4,1,5,4
202122,CT1M00700N,SCUOLA SECONDARIA I GRADO,3,1,7,8
202122,MIPSR85009,SCUOLA SECONDARIA II GRADO,4,1,4,9
202122,LITD02500G,SCUOLA SECONDARIA II GRADO,5,2,19,18
202122,CTPL075003,SCUOLA SECONDARIA II GRADO,1,1,2,1
202122,POPS9T5004,SCUOLA SECONDARIA II GRADO,2,2,6,3
202122,NA1E239009,SCUOLA PRIMARIA,3,1,6,13
202122,MI1E045009,SCUOLA PRIMARIA,2,1,11,6
202122,MI1E06300V,SCUOLA PRIMARIA,4,1,15,7
202122,CHTL31500X,SCUOLA SECONDARIA II GRADO,3,1,4,0
202122,RM1MMF500S,SCUOLA SECONDARIA I GRADO,3,2,21,12
202122,CA1E00600X,SCUOLA PRIMARIA,2,1,9,7
202122,BSPME1500B,SCUOLA SECONDARIA II GRADO,1,1,3,15
202122,NA1E17000C,SCUOLA PRIMARIA,3,2,12,8
202122,NA1E18300E,SCUOLA PRIMARIA,4,2,21,22
202122,RM1E04500T,SCUOLA PRIMARIA,1,1,6,13
202122,RM1E064007,SCUOLA PRIMARIA,1,2,20,11
202122,ME1E01700T,SCUOLA PRIMARIA,5,1,6,7
202122,RM1ES9500O,SCUOLA PRIMARIA,5,1,4,10
202122,LT1E00300L,SCUOLA PRIMARIA,4,1,13,9
202122,PE1M00100N,SCUOLA SECONDARIA I GRADO,1,1,8,12
202122,PA1E01000R,SCUOLA PRIMARIA,1,1,7,8
202122,NARH05500C,SCUOLA SECONDARIA II GRADO,5,1,9,9
202122,MT1E00100E,SCUOLA PRIMARIA,4,1,8,11
202122,CRPS00500B,SCUOLA SECONDARIA II GRADO,2,1,5,9
202122,NA1E094004,SCUOLA PRIMARIA,2,1,5,7
202122,NA1E11000R,SCUOLA PRIMARIA,2,1,9,9
202122,AR1E00500C,SCUOLA PRIMARIA,3,1,11,4
202122,FRPSII500H,SCUOLA SECONDARIA II GRADO,2,1,7,5
202122,NATFPQ500Q,SCUOLA SECONDARIA II GRADO,1,1,4,3
202122,SRTHA6500C,SCUOLA SECONDARIA II GRADO,4,1,6,0
202122,VTPS0F500B,SCUOLA SECONDARIA II GRADO,3,1,4,4
202122,VR1M02400D,SCUOLA SECONDARIA I GRADO,3,2,24,19
202122,SATL04500R,SCUOLA SECONDARIA II GRADO,5,2,53,7
202122,PR1M00400R,SCUOLA SECONDARIA I GRADO,3,1,13,5
202122,NARHA8500Q,SCUOLA SECONDARIA II GRADO,5,4,66,71
202122,CA1EN7500O,SCUOLA PRIMARIA,3,1,11,9
202122,MI1MA05006,SCUOLA SECONDARIA I GRADO,2,1,8,8
202122,CERH4F500L,SCUOLA SECONDARIA II GRADO,4,1,6,1
202122,SARHV4500U,SCUOLA SECONDARIA II GRADO,4,2,3,6
202122,GE1M006006,SCUOLA SECONDARIA I GRADO,3,1,12,12
202122,CTTD06500D,SCUOLA SECONDARIA II GRADO,3,1,5,2
202122,NAPMSV500U,SCUOLA SECONDARIA II GRADO,2,1,1,7
202122,RE1M8H500D,SCUOLA SECONDARIA I GRADO,2,1,7,6
202122,PD1M015007,SCUOLA SECONDARIA I GRADO,3,1,6,5
202122,RM1E073002,SCUOLA PRIMARIA,1,2,17,19
202122,MB1E03600B,SCUOLA PRIMARIA,1,1,9,10
202122,MITD25500P,SCUOLA SECONDARIA II GRADO,4,1,7,3
202122,BNTF2A500Q,SCUOLA SECONDARIA II GRADO,2,1,2,2
202122,NA1E21500R,SCUOLA PRIMARIA,4,1,11,6
202122,FIPS02500P,SCUOLA SECONDARIA II GRADO,1,1,2,2
202122,PO1E001001,SCUOLA PRIMARIA,5,1,10,11
202122,SARHGL500M,SCUOLA SECONDARIA II GRADO,3,4,73,49
202122,SV1E00300E,SCUOLA PRIMARIA,1,1,6,17
202122,BG1M9L500G,SCUOLA SECONDARIA I GRADO,3,1,11,13
202122,RM1M08900R,SCUOLA SECONDARIA I GRADO,1,1,12,13
202122,RM1E2U500H,SCUOLA PRIMARIA,4,2,22,26
202122,LIPS0H500M,SCUOLA SECONDARIA II GRADO,4,1,10,2
202122,MIPS055005,SCUOLA SECONDARIA II GRADO,2,1,12,3
202122,MIPS06500Q,SCUOLA SECONDARIA II GRADO,3,1,12,9
202122,MI1E046005,SCUOLA PRIMARIA,3,3,44,32
202122,MI1E076001,SCUOLA PRIMARIA,2,1,8,14
202122,TO1E05100L,SCUOLA PRIMARIA,2,1,12,5
202122,RMPL26500R,SCUOLA SECONDARIA II GRADO,1,1,7,13
202122,PDRHMH500P,SCUOLA SECONDARIA II GRADO,2,1,9,3
202122,NA1E15300P,SCUOLA PRIMARIA,4,1,2,8
202122,MBPS28500G,SCUOLA SECONDARIA II GRADO,1,1,3,2
202122,VA1M8O500Z,SCUOLA SECONDARIA I GRADO,1,2,13,12
202122,RM1M149007,SCUOLA SECONDARIA I GRADO,3,1,13,9
202122,BSRF06500X,SCUOLA SECONDARIA II GRADO,1,1,4,19
202122,MITD73500S,SCUOLA SECONDARIA II GRADO,4,1,17,5
202122,TOPS01500P,SCUOLA SECONDARIA II GRADO,3,1,23,10
202122,NA1E185006,SCUOLA PRIMARIA,1,1,9,11
202122,AP1E005007,SCUOLA PRIMARIA,5,1,5,6
202122,RM1E04600N,SCUOLA PRIMARIA,2,1,14,8
202122,NA1E09100L,SCUOLA PRIMARIA,4,1,11,12
202122,UD1E010003,SCUOLA PRIMARIA,5,1,7,17
202122,NATD9F500E,SCUOLA SECONDARIA II GRADO,5,2,23,38
