ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202122,TVPSIL5006,SCUOLA SECONDARIA II GRADO,3,17,17,0,0,0
202122,BGSD01500E,SCUOLA SECONDARIA II GRADO,2,26,25,1,0,1
202122,PAPC12500D,SCUOLA SECONDARIA II GRADO,5,34,34,0,0,0
202122,CTPC08500Q,SCUOLA SECONDARIA II GRADO,4,12,12,0,0,0
202122,CT1E02100P,SCUOLA PRIMARIA,2,10,10,0,0,0
202122,BS1E02200E,SCUOLA PRIMARIA,4,40,37,3,0,3
202122,BSPMS9500M,SCUOLA SECONDARIA II GRADO,3,35,34,1,0,1
202122,CERIOH500S,SCUOLA SECONDARIA II GRADO,3,9,8,1,0,1
202122,RM1E106004,SCUOLA PRIMARIA,4,33,30,3,0,3
202122,BO1E013005,SCUOLA PRIMARIA,4,18,18,0,0,0
202122,TV1M002001,SCUOLA SECONDARIA I GRADO,1,25,23,2,0,2
202122,RM1E156005,SCUOLA PRIMARIA,4,15,14,1,0,1
202122,MBRH02500X,SCUOLA SECONDARIA II GRADO,5,39,38,1,0,1
202122,MBPS8T500R,SCUOLA SECONDARIA II GRADO,5,37,37,0,0,0
202122,SATF795007,SCUOLA SECONDARIA II GRADO,3,9,9,0,0,0
202122,MI1E13000C,SCUOLA PRIMARIA,2,26,24,2,1,1
202122,NATF2S500C,SCUOLA SECONDARIA II GRADO,1,5,5,0,0,0
202122,UDPS0G500U,SCUOLA SECONDARIA II GRADO,1,20,20,0,0,0
202122,RMPS505001,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202122,SA1E01300T,SCUOLA PRIMARIA,5,44,44,0,0,0
202122,FI1M02600E,SCUOLA SECONDARIA I GRADO,1,11,11,0,0,0
202122,CE1ELC500C,SCUOLA PRIMARIA,4,15,15,0,0,0
202122,METD065008,SCUOLA SECONDARIA II GRADO,4,4,4,0,0,0
202122,MI1E00100G,SCUOLA PRIMARIA,3,43,39,4,0,4
202122,AL1E00300A,SCUOLA PRIMARIA,1,12,12,0,0,0
202122,NA1E21100D,SCUOLA PRIMARIA,4,10,10,0,0,0
202122,VRPQ02500E,SCUOLA SECONDARIA II GRADO,5,37,36,1,0,1
202122,MIPM04500G,SCUOLA SECONDARIA II GRADO,4,23,23,0,0,0
202122,NO1M01100X,SCUOLA SECONDARIA I GRADO,3,105,101,4,0,4
202122,RMPS135009,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202122,RMPS03500C,SCUOLA SECONDARIA II GRADO,4,32,32,0,0,0
202122,BG1M02500P,SCUOLA SECONDARIA I GRADO,2,37,37,0,0,0
202122,PG1E00300P,SCUOLA PRIMARIA,3,30,30,0,0,0
202122,PG1M00500G,SCUOLA SECONDARIA I GRADO,1,4,2,2,0,2
202122,AVTFRU5000,SCUOLA SECONDARIA II GRADO,4,3,3,0,0,0
202122,NATD48500T,SCUOLA SECONDARIA II GRADO,1,9,8,1,0,1
202122,NA1E6E500B,SCUOLA PRIMARIA,2,15,15,0,0,0
202122,UD1E010003,SCUOLA PRIMARIA,1,20,19,1,0,1
202122,CERH325008,SCUOLA SECONDARIA II GRADO,1,11,11,0,0,0
202122,RMPSBI5001,SCUOLA SECONDARIA II GRADO,3,28,28,0,0,0
202122,NA1E027009,SCUOLA PRIMARIA,4,20,18,2,0,2
202122,GE1E012008,SCUOLA PRIMARIA,3,18,18,0,0,0
202122,TO1E01500D,SCUOLA PRIMARIA,1,18,15,3,2,1
202122,APTFZ6500L,SCUOLA SECONDARIA II GRADO,5,8,8,0,0,0
202122,VARFR75004,SCUOLA SECONDARIA II GRADO,5,10,10,0,0,0
202122,RM1M082002,SCUOLA SECONDARIA I GRADO,3,27,25,2,1,1
202122,LCTB00500V,SCUOLA SECONDARIA II GRADO,5,9,9,0,0,0
202122,LC1E010008,SCUOLA PRIMARIA,5,31,30,1,0,1
202122,MEPMEB500L,SCUOLA SECONDARIA II GRADO,2,6,5,1,0,1
202122,ME1E00300X,SCUOLA PRIMARIA,1,20,20,0,0,0
202122,RMTD49500B,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
202122,SV1M00200X,SCUOLA SECONDARIA I GRADO,3,16,16,0,0,0
202122,MIPS06500Q,SCUOLA SECONDARIA II GRADO,3,21,19,2,0,2
202122,RM1E12400N,SCUOLA PRIMARIA,5,27,27,0,0,0
202122,BOTB02500D,SCUOLA SECONDARIA II GRADO,3,10,10,0,0,0
202122,PTPM02500D,SCUOLA SECONDARIA II GRADO,4,31,28,3,1,2
202122,MI1E046005,SCUOLA PRIMARIA,4,81,78,3,2,1
202122,RM1E036003,SCUOLA PRIMARIA,2,39,39,0,0,0
202122,AP1E006003,SCUOLA PRIMARIA,4,21,20,1,1,0
202122,NA1E119007,SCUOLA PRIMARIA,2,14,13,1,0,1
202122,AN1E001009,SCUOLA PRIMARIA,3,14,13,1,0,1
202122,CETF01500C,SCUOLA SECONDARIA II GRADO,3,18,18,0,0,0
202122,TO1M02200T,SCUOLA SECONDARIA I GRADO,3,18,18,0,0,0
202122,BGSLQP500D,SCUOLA SECONDARIA II GRADO,5,10,10,0,0,0
202122,LTPST2500E,SCUOLA SECONDARIA II GRADO,5,39,38,1,0,1
202122,SA1E01500D,SCUOLA PRIMARIA,3,19,19,0,0,0
202122,RM1E17400P,SCUOLA PRIMARIA,5,23,23,0,0,0
202122,RMPM045004,SCUOLA SECONDARIA II GRADO,1,8,7,1,0,1
202122,MBPMM55007,SCUOLA SECONDARIA II GRADO,3,30,29,1,0,1
202122,NATL25500P,SCUOLA SECONDARIA II GRADO,1,14,14,0,0,0
202122,MB1M02100V,SCUOLA SECONDARIA I GRADO,3,85,85,0,0,0
202122,SASD00500E,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
202122,MI1EAE500E,SCUOLA PRIMARIA,5,21,19,2,1,1
202122,MI1E12600R,SCUOLA PRIMARIA,4,74,68,6,2,4
202122,BA1E02500C,SCUOLA PRIMARIA,3,11,11,0,0,0
202122,BA1E01600N,SCUOLA PRIMARIA,5,13,13,0,0,0
202122,RM1E06900A,SCUOLA PRIMARIA,3,23,22,1,0,1
202122,NATF6F5005,SCUOLA SECONDARIA II GRADO,4,6,6,0,0,0
202122,LO1E00400P,SCUOLA PRIMARIA,5,48,48,0,0,0
202122,RMPS555002,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202122,PNPS9G5000,SCUOLA SECONDARIA II GRADO,3,19,19,0,0,0
202122,CEPL015005,SCUOLA SECONDARIA II GRADO,1,12,12,0,0,0
202122,METH68500U,SCUOLA SECONDARIA II GRADO,5,12,12,0,0,0
202122,TOTF055007,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
202122,RGTD04500G,SCUOLA SECONDARIA II GRADO,5,12,11,1,1,0
202122,NA1E21000N,SCUOLA PRIMARIA,3,21,21,0,0,0
202122,BG1M01300C,SCUOLA SECONDARIA I GRADO,2,136,134,2,1,1
202122,BG1M010001,SCUOLA SECONDARIA I GRADO,3,137,136,1,0,1
202122,BG1E01500V,SCUOLA PRIMARIA,4,47,43,4,1,3
202122,VATB215007,SCUOLA SECONDARIA II GRADO,3,21,18,3,0,3
202122,BG1MV3500S,SCUOLA SECONDARIA I GRADO,1,15,15,0,0,0
202122,PG1EPF500P,SCUOLA PRIMARIA,3,18,18,0,0,0
