ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201819,TATL015002,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
201819,SATFCA5002,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
201819,VARFR75004,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
201819,SATD01500E,SCUOLA SECONDARIA II GRADO,1,2,2,0,0,0
201819,RMPS4A500Z,SCUOLA SECONDARIA II GRADO,2,23,23,0,0,0
201819,NA1E14500Q,SCUOLA PRIMARIA,5,30,29,1,0,1
201819,MS1E00500P,SCUOLA PRIMARIA,3,20,20,0,0,0
201819,VT1E00300T,SCUOLA PRIMARIA,3,18,18,0,0,0
201819,TV1E01500T,SCUOLA PRIMARIA,3,42,42,0,0,0
201819,MIPC005001,SCUOLA SECONDARIA II GRADO,4,20,20,0,0,0
201819,FI1M01100R,SCUOLA SECONDARIA I GRADO,2,27,25,2,0,2
201819,FITF265001,SCUOLA SECONDARIA II GRADO,3,14,10,4,0,4
201819,VA1E01500B,SCUOLA PRIMARIA,4,43,42,1,1,0
201819,VRPC04500B,SCUOLA SECONDARIA II GRADO,3,18,18,0,0,0
201819,RMPM05500P,SCUOLA SECONDARIA II GRADO,1,17,15,2,1,1
201819,MO1E01100B,SCUOLA PRIMARIA,4,51,51,0,0,0
201819,VI1E00300V,SCUOLA PRIMARIA,4,21,19,2,0,2
201819,PR1E00500B,SCUOLA PRIMARIA,1,37,37,0,0,0
201819,BG1E01700E,SCUOLA PRIMARIA,1,1,1,0,0,0
201819,RMPSI6500C,SCUOLA SECONDARIA II GRADO,5,56,54,2,0,2
201819,LE1E005002,SCUOLA PRIMARIA,2,24,20,4,0,4
201819,SATL16500Q,SCUOLA SECONDARIA II GRADO,4,1,1,0,0,0
201819,NARH035007,SCUOLA SECONDARIA II GRADO,5,23,23,0,0,0
201819,AP1M002001,SCUOLA SECONDARIA I GRADO,2,19,19,0,0,0
201819,CO1E01400T,SCUOLA PRIMARIA,3,47,47,0,0,0
201819,NA1E127006,SCUOLA PRIMARIA,1,44,43,1,0,1
201819,PASD01500G,SCUOLA SECONDARIA II GRADO,4,32,32,0,0,0
201819,CL1E00500Q,SCUOLA PRIMARIA,3,14,14,0,0,0
201819,VAPL095008,SCUOLA SECONDARIA II GRADO,2,9,6,3,0,3
201819,CE1ERT500Q,SCUOLA PRIMARIA,1,25,24,1,1,0
201819,AL1E005002,SCUOLA PRIMARIA,2,35,33,2,1,1
201819,MI1M041007,SCUOLA SECONDARIA I GRADO,2,180,180,0,0,0
201819,RMRH00500A,SCUOLA SECONDARIA II GRADO,1,10,9,1,1,0
201819,GE1E03800C,SCUOLA PRIMARIA,2,15,11,4,0,4
201819,MI1E05000R,SCUOLA PRIMARIA,3,52,52,0,0,0
201819,MI1E076001,SCUOLA PRIMARIA,4,14,13,1,0,1
201819,TVPL08500G,SCUOLA SECONDARIA II GRADO,4,20,20,0,0,0
201819,RM1E100005,SCUOLA PRIMARIA,2,21,21,0,0,0
201819,BG1M023003,SCUOLA SECONDARIA I GRADO,3,21,20,1,0,1
201819,CERIOH500S,SCUOLA SECONDARIA II GRADO,4,11,11,0,0,0
201819,TO1M056001,SCUOLA SECONDARIA I GRADO,1,87,86,1,0,1
201819,CO1M01100G,SCUOLA SECONDARIA I GRADO,3,40,39,1,0,1
201819,RM1M10900R,SCUOLA SECONDARIA I GRADO,1,12,8,4,0,4
201819,SARFTV500I,SCUOLA SECONDARIA II GRADO,5,65,53,12,4,8
201819,MIPS8T500I,SCUOLA SECONDARIA II GRADO,2,20,20,0,0,0
201819,PD1E004009,SCUOLA PRIMARIA,2,26,26,0,0,0
201819,FR1E002005,SCUOLA PRIMARIA,2,13,13,0,0,0
201819,PE1E009003,SCUOLA PRIMARIA,3,37,37,0,0,0
201819,PR1M002005,SCUOLA SECONDARIA I GRADO,2,19,19,0,0,0
201819,BG1E00700X,SCUOLA PRIMARIA,3,56,54,2,1,1
201819,TOPQ475003,SCUOLA SECONDARIA II GRADO,4,10,10,0,0,0
201819,VR1E004003,SCUOLA PRIMARIA,1,20,20,0,0,0
201819,VT1E008001,SCUOLA PRIMARIA,2,14,14,0,0,0
201819,MITF005006,SCUOLA SECONDARIA II GRADO,3,38,38,0,0,0
201819,RM1E049005,SCUOLA PRIMARIA,5,25,24,1,1,0
201819,VA1E01400G,SCUOLA PRIMARIA,5,3,3,0,0,0
201819,RETB755007,SCUOLA SECONDARIA II GRADO,4,16,14,2,0,2
201819,VEPL04500N,SCUOLA SECONDARIA II GRADO,5,7,7,0,0,0
201819,UD1M00100D,SCUOLA SECONDARIA I GRADO,3,33,33,0,0,0
201819,NA1M060006,SCUOLA SECONDARIA I GRADO,3,28,24,4,0,4
201819,RMPS59500C,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201819,VTPLR35005,SCUOLA SECONDARIA II GRADO,2,5,4,1,0,1
201819,PC1E00300V,SCUOLA PRIMARIA,1,23,22,1,0,1
201819,COSL035001,SCUOLA SECONDARIA II GRADO,1,26,23,3,0,3
201819,VC1E00200E,SCUOLA PRIMARIA,1,23,23,0,0,0
201819,MIPS04500E,SCUOLA SECONDARIA II GRADO,3,15,14,1,0,1
201819,NA1E085009,SCUOLA PRIMARIA,1,20,20,0,0,0
201819,AV1E00600D,SCUOLA PRIMARIA,3,12,12,0,0,0
201819,RMSL3E5005,SCUOLA SECONDARIA II GRADO,5,5,4,1,0,1
201819,NA1E235002,SCUOLA PRIMARIA,3,18,18,0,0,0
201819,RM1E11100G,SCUOLA PRIMARIA,3,18,17,1,0,1
201819,MIPS345005,SCUOLA SECONDARIA II GRADO,1,30,29,1,0,1
201819,LC1E008008,SCUOLA PRIMARIA,1,23,23,0,0,0
201819,BGPL06500X,SCUOLA SECONDARIA II GRADO,5,9,9,0,0,0
201819,GO1EUT5002,SCUOLA PRIMARIA,1,3,3,0,0,0
201819,FI1E022002,SCUOLA PRIMARIA,5,31,29,2,0,2
201819,MI1E01500D,SCUOLA PRIMARIA,4,34,32,2,0,2
201819,RMPMPL5008,SCUOLA SECONDARIA II GRADO,4,1,1,0,0,0
201819,CERH4F500L,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
201819,RM1E022005,SCUOLA PRIMARIA,5,29,24,5,0,5
201819,LT1E00300L,SCUOLA PRIMARIA,1,24,23,1,0,1
201819,LIPS0H500M,SCUOLA SECONDARIA II GRADO,2,14,13,1,0,1
201819,BN1E00300T,SCUOLA PRIMARIA,4,14,14,0,0,0
201819,NA1E285003,SCUOLA PRIMARIA,3,20,20,0,0,0
201819,CRPS02500L,SCUOLA SECONDARIA II GRADO,1,13,11,2,0,2
201819,LE1M00400B,SCUOLA SECONDARIA I GRADO,2,33,33,0,0,0
201819,PAPM9C5005,SCUOLA SECONDARIA II GRADO,1,26,26,0,0,0
201819,GEPC07500D,SCUOLA SECONDARIA II GRADO,4,10,10,0,0,0
201819,MIPLVI500L,SCUOLA SECONDARIA II GRADO,5,23,22,1,0,1
201819,CS1MT95008,SCUOLA SECONDARIA I GRADO,1,1,1,0,0,0
201819,NA1E099007,SCUOLA PRIMARIA,1,6,6,0,0,0
201819,PATD27500A,SCUOLA SECONDARIA II GRADO,2,3,2,1,1,0
201819,SA1E012002,SCUOLA PRIMARIA,5,17,16,1,0,1
201819,AR1M002006,SCUOLA SECONDARIA I GRADO,3,12,12,0,0,0
201819,TO1M03500X,SCUOLA SECONDARIA I GRADO,1,9,9,0,0,0
201819,PA1E034009,SCUOLA PRIMARIA,4,17,17,0,0,0
201819,PR1E001004,SCUOLA PRIMARIA,4,51,51,0,0,0
201819,NA1E218008,SCUOLA PRIMARIA,5,4,4,0,0,0
201819,MIPS1Q500Z,SCUOLA SECONDARIA II GRADO,2,30,30,0,0,0
201819,BNRHZS500C,SCUOLA SECONDARIA II GRADO,3,25,25,0,0,0
201819,SATFH8500N,SCUOLA SECONDARIA II GRADO,3,2,2,0,0,0
201819,BO1E00400A,SCUOLA PRIMARIA,3,25,24,1,0,1
201819,BG1E02400N,SCUOLA PRIMARIA,4,13,13,0,0,0
201819,MI1E08100C,SCUOLA PRIMARIA,2,25,24,1,0,1
201819,NA1E18200P,SCUOLA PRIMARIA,4,47,47,0,0,0
201819,BSRF06500X,SCUOLA SECONDARIA II GRADO,5,29,28,1,0,1
201819,MIRFZ6500C,SCUOLA SECONDARIA II GRADO,1,29,26,3,1,2
201819,CT1E02300A,SCUOLA PRIMARIA,3,18,18,0,0,0
201819,NA1E13700R,SCUOLA PRIMARIA,4,13,13,0,0,0
201819,MERH015005,SCUOLA SECONDARIA II GRADO,2,3,2,1,1,0
201819,PD1E021003,SCUOLA PRIMARIA,3,17,15,2,0,2
201819,CSTDIB500Z,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
201819,LC1E00100D,SCUOLA PRIMARIA,2,20,19,1,0,1
201819,RM1E09000Q,SCUOLA PRIMARIA,4,54,53,1,0,1
201819,TV1E00400B,SCUOLA PRIMARIA,2,53,51,2,2,0
201819,SA1E00100G,SCUOLA PRIMARIA,1,11,11,0,0,0
