ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202223,FI1E035004,SCUOLA PRIMARIA,3,34,30,4,0,4
202223,TO1E02900B,SCUOLA PRIMARIA,2,13,13,0,0,0
202223,NA1E198008,SCUOLA PRIMARIA,1,17,16,1,0,1
202223,CERHD15005,SCUOLA SECONDARIA II GRADO,4,9,9,0,0,0
202223,ISPL5F5001,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
202223,BG1M002002,SCUOLA SECONDARIA I GRADO,1,37,37,0,0,0
202223,RM1E20900C,SCUOLA PRIMARIA,2,7,6,1,0,1
202223,CT1M02400B,SCUOLA SECONDARIA I GRADO,1,40,36,4,2,2
202223,PD1M001003,SCUOLA SECONDARIA I GRADO,1,37,36,1,0,1
202223,VARH025001,SCUOLA SECONDARIA II GRADO,1,19,19,0,0,0
202223,TOPC06500L,SCUOLA SECONDARIA II GRADO,1,15,15,0,0,0
202223,RMPSMF500G,SCUOLA SECONDARIA II GRADO,5,12,12,0,0,0
202223,RM1E10900G,SCUOLA PRIMARIA,3,22,21,1,1,0
202223,MBSL05500V,SCUOLA SECONDARIA II GRADO,4,78,77,1,0,1
202223,PD1E013004,SCUOLA PRIMARIA,1,26,26,0,0,0
202223,CE1E06800N,SCUOLA PRIMARIA,4,9,9,0,0,0
202223,RM1M108001,SCUOLA SECONDARIA I GRADO,1,43,40,3,0,3
202223,NO1E006007,SCUOLA PRIMARIA,2,51,49,2,0,2
202223,NARF0C5004,SCUOLA SECONDARIA II GRADO,3,8,7,1,0,1
202223,VR1E01300T,SCUOLA PRIMARIA,1,24,24,0,0,0
202223,NAPM455007,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202223,TS1E00300T,SCUOLA PRIMARIA,4,18,17,1,1,0
202223,VI1E01100T,SCUOLA PRIMARIA,1,19,16,3,1,2
202223,SATDVQ500D,SCUOLA SECONDARIA II GRADO,4,6,6,0,0,0
202223,CZ1EQB500O,SCUOLA PRIMARIA,2,20,20,0,0,0
202223,BNTL025006,SCUOLA SECONDARIA II GRADO,5,71,69,2,1,1
202223,PD1E00800L,SCUOLA PRIMARIA,2,19,18,1,1,0
202223,BG1E027005,SCUOLA PRIMARIA,5,15,14,1,0,1
202223,RMTAPV5005,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
202223,NA1E23000V,SCUOLA PRIMARIA,3,22,22,0,0,0
202223,RM1E19000L,SCUOLA PRIMARIA,5,27,25,2,0,2
202223,VEPL04500N,SCUOLA SECONDARIA II GRADO,4,8,8,0,0,0
202223,LCTB00500V,SCUOLA SECONDARIA II GRADO,5,7,5,2,0,2
202223,NAPL7N500U,SCUOLA SECONDARIA II GRADO,5,57,49,8,2,6
202223,VR1E00800A,SCUOLA PRIMARIA,1,26,19,7,4,3
202223,GE1E02500A,SCUOLA PRIMARIA,2,18,18,0,0,0
202223,RM1E00300Q,SCUOLA PRIMARIA,3,54,54,0,0,0
202223,PR1E007003,SCUOLA PRIMARIA,1,20,20,0,0,0
202223,CTPS075008,SCUOLA SECONDARIA II GRADO,1,37,35,2,0,2
202223,BGPQ235008,SCUOLA SECONDARIA II GRADO,5,29,29,0,0,0
202223,RM1E12400N,SCUOLA PRIMARIA,2,16,15,1,0,1
202223,PATD34500B,SCUOLA SECONDARIA II GRADO,5,23,22,1,1,0
202223,VRTN025003,SCUOLA SECONDARIA II GRADO,3,28,27,1,0,1
202223,RM1E18300D,SCUOLA PRIMARIA,1,16,10,6,1,5
202223,MI1M05700R,SCUOLA SECONDARIA I GRADO,2,159,156,3,0,3
202223,NATD1E500I,SCUOLA SECONDARIA II GRADO,3,17,17,0,0,0
202223,MI1M063004,SCUOLA SECONDARIA I GRADO,1,120,118,2,0,2
202223,VEPMLV5000,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202223,AN1E001009,SCUOLA PRIMARIA,5,12,11,1,0,1
202223,GE1E019003,SCUOLA PRIMARIA,3,16,15,1,0,1
202223,SA1E012002,SCUOLA PRIMARIA,4,10,10,0,0,0
202223,NARH3Z5008,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202223,BG1M029002,SCUOLA SECONDARIA I GRADO,3,36,35,1,0,1
202223,NA1E051006,SCUOLA PRIMARIA,1,40,39,1,0,1
202223,BGPMS4500R,SCUOLA SECONDARIA II GRADO,3,6,5,1,0,1
202223,COPL025008,SCUOLA SECONDARIA II GRADO,5,9,9,0,0,0
202223,NA1E11800B,SCUOLA PRIMARIA,2,16,16,0,0,0
202223,UD1EM3500M,SCUOLA PRIMARIA,1,43,40,3,1,2
202223,FG1MS1500L,SCUOLA SECONDARIA I GRADO,3,12,11,1,1,0
202223,RM1MTI500F,SCUOLA SECONDARIA I GRADO,1,26,18,8,1,7
202223,LI1E00800R,SCUOLA PRIMARIA,2,16,16,0,0,0
202223,BSTN01500A,SCUOLA SECONDARIA II GRADO,4,12,12,0,0,0
202223,RM1E02400R,SCUOLA PRIMARIA,1,40,37,3,0,3
202223,VI1E00500E,SCUOLA PRIMARIA,5,26,26,0,0,0
202223,AGTD00500C,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202223,TO1E053008,SCUOLA PRIMARIA,5,30,29,1,1,0
202223,RMTDOO500A,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
202223,SI1E003001,SCUOLA PRIMARIA,4,17,14,3,0,3
202223,PG1E00200V,SCUOLA PRIMARIA,4,13,13,0,0,0
202223,SA1E012002,SCUOLA PRIMARIA,1,12,12,0,0,0
202223,METD065008,SCUOLA SECONDARIA II GRADO,4,5,4,1,1,0
202223,SATD2H5007,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
202223,TVPM4Q500B,SCUOLA SECONDARIA II GRADO,1,11,11,0,0,0
202223,VR1M021002,SCUOLA SECONDARIA I GRADO,1,15,14,1,0,1
202223,FIPL085005,SCUOLA SECONDARIA II GRADO,2,4,3,1,0,1
202223,NA1E11600Q,SCUOLA PRIMARIA,1,20,20,0,0,0
202223,NAPS92500P,SCUOLA SECONDARIA II GRADO,3,31,30,1,0,1
202223,CERH4F500L,SCUOLA SECONDARIA II GRADO,4,13,13,0,0,0
202223,NATL145007,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
202223,BSTD355007,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
202223,CAPS005009,SCUOLA SECONDARIA II GRADO,4,14,13,1,0,1
202223,NA1E19000N,SCUOLA PRIMARIA,4,10,10,0,0,0
202223,RN1E00200T,SCUOLA PRIMARIA,1,6,6,0,0,0
202223,PEPS005001,SCUOLA SECONDARIA II GRADO,4,35,35,0,0,0
202223,CTTD37500P,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202223,TA1E009007,SCUOLA PRIMARIA,2,11,11,0,0,0
202223,MIRF105007,SCUOLA SECONDARIA II GRADO,5,25,24,1,0,1
202223,MITD13500L,SCUOLA SECONDARIA II GRADO,4,17,16,1,0,1
202223,SSPM9L500Q,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202223,NA1E25100X,SCUOLA PRIMARIA,3,10,10,0,0,0
202223,RC1E00200R,SCUOLA PRIMARIA,2,21,20,1,0,1
202223,RM1E13300C,SCUOLA PRIMARIA,3,13,11,2,0,2
202223,BGTF015006,SCUOLA SECONDARIA II GRADO,3,13,13,0,0,0
202223,UD1E00500G,SCUOLA PRIMARIA,1,46,46,0,0,0
202223,CSTN015007,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202223,RMPC1A5001,SCUOLA SECONDARIA II GRADO,5,11,10,1,0,1
202223,MIPSRS500B,SCUOLA SECONDARIA II GRADO,1,17,16,1,1,0
202223,NAPC00500E,SCUOLA SECONDARIA II GRADO,2,8,6,2,0,2
202223,LE1E00200E,SCUOLA PRIMARIA,2,39,39,0,0,0
202223,PDTD01500R,SCUOLA SECONDARIA II GRADO,2,16,15,1,1,0
202223,RMPC525003,SCUOLA SECONDARIA II GRADO,3,19,19,0,0,0
202223,TARI00500A,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202223,RO1E00100P,SCUOLA PRIMARIA,1,25,24,1,0,1
202223,MISL04500B,SCUOLA SECONDARIA II GRADO,4,61,59,2,0,2
202223,BSPS88500T,SCUOLA SECONDARIA II GRADO,2,19,19,0,0,0
202223,GE1E039008,SCUOLA PRIMARIA,5,38,35,3,0,3
202223,MIPS735002,SCUOLA SECONDARIA II GRADO,1,10,9,1,0,1
202223,NA1E21700C,SCUOLA PRIMARIA,4,28,28,0,0,0
202223,BS1E00700C,SCUOLA PRIMARIA,1,26,26,0,0,0
202223,LO1M010007,SCUOLA SECONDARIA I GRADO,2,36,35,1,0,1
202223,RMPS44500E,SCUOLA SECONDARIA II GRADO,1,15,15,0,0,0
202223,LC1M08000Q,SCUOLA SECONDARIA I GRADO,1,40,39,1,0,1
202223,AL1E005002,SCUOLA PRIMARIA,1,49,47,2,1,1
202223,TO1E03500P,SCUOLA PRIMARIA,1,82,76,6,4,2
202223,RM1E08400C,SCUOLA PRIMARIA,2,40,38,2,1,1
202223,PV1E003001,SCUOLA PRIMARIA,5,45,45,0,0,0
202223,ANPS025003,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202223,VA1M8O500Z,SCUOLA SECONDARIA I GRADO,3,13,13,0,0,0
202223,RM1EM25008,SCUOLA PRIMARIA,2,25,16,9,0,9
202223,VE1E013006,SCUOLA PRIMARIA,3,23,22,1,0,1
202223,VE1E005007,SCUOLA PRIMARIA,4,23,19,4,1,3
202223,SATNV3500O,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
202223,CO1E00900A,SCUOLA PRIMARIA,5,35,32,3,1,2
202223,GE1E03700L,SCUOLA PRIMARIA,4,21,20,1,0,1
202223,RMPM4G5004,SCUOLA SECONDARIA II GRADO,1,14,14,0,0,0
202223,FG1E02500R,SCUOLA PRIMARIA,2,23,23,0,0,0
202223,PA1E01700G,SCUOLA PRIMARIA,2,34,33,1,1,0
202223,MI1E039002,SCUOLA PRIMARIA,5,40,39,1,0,1
202223,RMTD00500C,SCUOLA SECONDARIA II GRADO,1,2,1,1,1,0
202223,LT1E00200R,SCUOLA PRIMARIA,5,26,22,4,1,3
