ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201718,RM1E08200R,SCUOLA PRIMARIA,3,1,5,7
201718,PA1E02900T,SCUOLA PRIMARIA,2,1,12,7
201718,RC1E00300L,SCUOLA PRIMARIA,4,1,18,9
201718,FI1E014003,SCUOLA PRIMARIA,1,1,12,9
201718,TOPL11500A,SCUOLA SECONDARIA II GRADO,4,1,0,1
201718,NA1E27900Q,SCUOLA PRIMARIA,3,1,5,5
201718,NA1E015003,SCUOLA PRIMARIA,1,1,12,2
201718,RMPLCV500U,SCUOLA SECONDARIA II GRADO,4,1,3,3
201718,NATD575004,SCUOLA SECONDARIA II GRADO,5,1,23,11
201718,CETAVH500S,SCUOLA SECONDARIA II GRADO,5,1,11,4
201718,LC1E003005,SCUOLA PRIMARIA,4,2,25,31
201718,NA1E156006,SCUOLA PRIMARIA,1,1,6,6
201718,TV1E00200Q,SCUOLA PRIMARIA,5,2,27,19
201718,BOPSRU500R,SCUOLA SECONDARIA II GRADO,2,1,11,5
201718,VI1M011003,SCUOLA SECONDARIA I GRADO,3,1,11,9
201718,MEPC2A500L,SCUOLA SECONDARIA II GRADO,2,1,1,0
201718,SSPM9L500Q,SCUOLA SECONDARIA II GRADO,2,1,0,1
201718,TA1E00700G,SCUOLA PRIMARIA,4,1,6,5
201718,RE1E00500D,SCUOLA PRIMARIA,4,1,14,13
201718,TOPS01500P,SCUOLA SECONDARIA II GRADO,2,1,2,3
201718,RM1E15300N,SCUOLA PRIMARIA,2,1,10,19
201718,RM1E01700N,SCUOLA PRIMARIA,2,1,4,8
201718,CTPSPS5003,SCUOLA SECONDARIA II GRADO,3,1,4,2
201718,NA1EPH500O,SCUOLA PRIMARIA,4,1,13,8
201718,CT1E024006,SCUOLA PRIMARIA,2,1,7,8
201718,VAPS6M5003,SCUOLA SECONDARIA II GRADO,3,2,32,6
201718,LU1E00400X,SCUOLA PRIMARIA,1,1,4,8
201718,NATD53500N,SCUOLA SECONDARIA II GRADO,1,1,4,6
201718,NARIPC5009,SCUOLA SECONDARIA II GRADO,3,1,2,1
201718,CT1M011009,SCUOLA SECONDARIA I GRADO,2,1,6,1
201718,MI1M06100C,SCUOLA SECONDARIA I GRADO,2,3,21,37
201718,SARH13500E,SCUOLA SECONDARIA II GRADO,5,1,9,2
201718,BI1E00200D,SCUOLA PRIMARIA,4,1,11,10
201718,MI1E05100L,SCUOLA PRIMARIA,4,2,19,19
201718,BGPS505007,SCUOLA SECONDARIA II GRADO,4,2,26,20
201718,GE1E03000T,SCUOLA PRIMARIA,5,1,11,9
201718,LI1M00300V,SCUOLA SECONDARIA I GRADO,2,1,11,11
201718,PD1E01100C,SCUOLA PRIMARIA,1,1,6,3
201718,PATDCH5009,SCUOLA SECONDARIA II GRADO,4,1,3,0
201718,CS1MUP500H,SCUOLA SECONDARIA I GRADO,2,2,13,12
201718,BSPS025007,SCUOLA SECONDARIA II GRADO,3,1,16,12
201718,IM1E00500L,SCUOLA PRIMARIA,5,2,19,11
201718,VAPM04500D,SCUOLA SECONDARIA II GRADO,1,1,3,7
201718,RG1E005004,SCUOLA PRIMARIA,4,1,6,6
201718,RMPL26500R,SCUOLA SECONDARIA II GRADO,2,1,4,6
201718,BA1MD7500G,SCUOLA SECONDARIA I GRADO,2,1,9,9
201718,RMPL285002,SCUOLA SECONDARIA II GRADO,3,1,4,7
201718,SA1E02200L,SCUOLA PRIMARIA,4,1,7,6
201718,BO1E018008,SCUOLA PRIMARIA,3,1,18,9
201718,CTPL145004,SCUOLA SECONDARIA II GRADO,1,1,0,1
201718,FO1E001006,SCUOLA PRIMARIA,1,1,12,8
201718,SAPS105001,SCUOLA SECONDARIA II GRADO,2,1,0,3
201718,BL1E00100G,SCUOLA PRIMARIA,5,1,18,12
201718,RM1E02500L,SCUOLA PRIMARIA,5,1,14,12
201718,BGPSDM500A,SCUOLA SECONDARIA II GRADO,2,1,10,3
201718,GE1E03100N,SCUOLA PRIMARIA,3,1,14,10
201718,RMPS8Q500R,SCUOLA SECONDARIA II GRADO,4,1,5,1
201718,TOTF01500R,SCUOLA SECONDARIA II GRADO,3,2,38,0
201718,VATF205008,SCUOLA SECONDARIA II GRADO,2,1,1,0
201718,TO1E032007,SCUOLA PRIMARIA,5,1,8,9
201718,BSPS88500T,SCUOLA SECONDARIA II GRADO,5,2,20,20
201718,REPLP0500O,SCUOLA SECONDARIA II GRADO,4,1,4,9
201718,NA1E192009,SCUOLA PRIMARIA,2,1,5,5
201718,LI1E005009,SCUOLA PRIMARIA,1,1,12,10
201718,RMSL5N500U,SCUOLA SECONDARIA II GRADO,5,1,2,2
201718,PA1EC8500U,SCUOLA PRIMARIA,3,1,3,1
201718,MI1E02900B,SCUOLA PRIMARIA,1,2,25,16
201718,MIPSRF5008,SCUOLA SECONDARIA II GRADO,3,1,2,0
201718,VTPM57500A,SCUOLA SECONDARIA II GRADO,5,1,1,5
201718,BS1E003005,SCUOLA PRIMARIA,4,1,13,9
201718,MI1E00700E,SCUOLA PRIMARIA,3,2,28,22
201718,BGPMVO500T,SCUOLA SECONDARIA II GRADO,5,1,10,18
201718,RMPS6L500L,SCUOLA SECONDARIA II GRADO,3,1,16,2
201718,TOTD08500R,SCUOLA SECONDARIA II GRADO,4,2,6,4
201718,TO1EPI500H,SCUOLA PRIMARIA,2,1,8,9
201718,SSPM9L500Q,SCUOLA SECONDARIA II GRADO,4,1,0,5
201718,TO1E03000G,SCUOLA PRIMARIA,5,1,7,10
201718,NARH065003,SCUOLA SECONDARIA II GRADO,2,1,1,1
201718,PRPS015007,SCUOLA SECONDARIA II GRADO,2,1,17,8
201718,NA1E06600X,SCUOLA PRIMARIA,4,2,19,14
201718,VRPS005004,SCUOLA SECONDARIA II GRADO,2,1,23,7
201718,FI1E001001,SCUOLA PRIMARIA,2,1,11,15
201718,VR1M02900L,SCUOLA SECONDARIA I GRADO,3,2,14,14
201718,MI1E06300V,SCUOLA PRIMARIA,5,1,15,12
201718,MIPS375001,SCUOLA SECONDARIA II GRADO,1,2,31,12
201718,TO1E018001,SCUOLA PRIMARIA,3,2,22,24
201718,FI1M01200L,SCUOLA SECONDARIA I GRADO,3,1,13,9
201718,BGPS1G5008,SCUOLA SECONDARIA II GRADO,1,1,6,6
201718,FI1E01700E,SCUOLA PRIMARIA,5,2,24,19
201718,VE1M006008,SCUOLA SECONDARIA I GRADO,2,1,8,11
201718,SRTL49500I,SCUOLA SECONDARIA II GRADO,5,2,32,3
201718,NA1E27400L,SCUOLA PRIMARIA,1,3,22,36
201718,PR1M010004,SCUOLA SECONDARIA I GRADO,2,2,17,17
201718,NA1E064008,SCUOLA PRIMARIA,4,1,15,7
201718,VR1M01000G,SCUOLA SECONDARIA I GRADO,1,1,18,9
201718,RM1EBQ5007,SCUOLA PRIMARIA,1,1,7,5
201718,NA1E14000L,SCUOLA PRIMARIA,5,2,13,7
201718,FG1E016002,SCUOLA PRIMARIA,1,1,10,7
201718,SP1E003004,SCUOLA PRIMARIA,3,1,14,13
201718,RCTD1B500I,SCUOLA SECONDARIA II GRADO,4,1,3,1
201718,PVPSTA500Q,SCUOLA SECONDARIA II GRADO,2,1,7,0
201718,COSL02500A,SCUOLA SECONDARIA II GRADO,1,1,1,0
201718,MI1E07100T,SCUOLA PRIMARIA,4,1,16,8
201718,RM1E065003,SCUOLA PRIMARIA,1,1,11,19
201718,FI1M01600X,SCUOLA SECONDARIA I GRADO,2,2,26,20
201718,CN1E00300P,SCUOLA PRIMARIA,1,1,5,0
201718,FI1E019006,SCUOLA PRIMARIA,1,1,12,8
201718,RM1E014006,SCUOLA PRIMARIA,5,1,10,7
201718,AQ1E00700D,SCUOLA PRIMARIA,5,1,11,15
201718,CE1E049008,SCUOLA PRIMARIA,4,1,4,6
201718,TS1E007005,SCUOLA PRIMARIA,4,1,6,6
201718,LCPMEE500S,SCUOLA SECONDARIA II GRADO,1,1,4,14
201718,MI1M027001,SCUOLA SECONDARIA I GRADO,1,2,22,24
201718,NA1E08900L,SCUOLA PRIMARIA,4,1,5,7
201718,RM1E20800L,SCUOLA PRIMARIA,3,1,9,8
201718,NATL83500Z,SCUOLA SECONDARIA II GRADO,3,1,4,1
201718,PG1E00500A,SCUOLA PRIMARIA,3,1,10,6
201718,PE1E00600G,SCUOLA PRIMARIA,5,1,13,12
201718,GE1E01000L,SCUOLA PRIMARIA,4,3,38,33
201718,MTTL01500X,SCUOLA SECONDARIA II GRADO,2,1,2,1
201718,GE1E00900C,SCUOLA PRIMARIA,3,1,10,13
201718,RC1E00700X,SCUOLA PRIMARIA,4,1,13,7
201718,RM1E126009,SCUOLA PRIMARIA,3,1,16,9
201718,CT1E05500T,SCUOLA PRIMARIA,5,1,1,0
201718,RM1E193004,SCUOLA PRIMARIA,2,2,25,28
201718,PASD005001,SCUOLA SECONDARIA II GRADO,1,8,45,107
201718,BS1M025007,SCUOLA SECONDARIA I GRADO,1,1,6,13
201718,SA1E01900R,SCUOLA PRIMARIA,5,1,4,6
201718,NATL265009,SCUOLA SECONDARIA II GRADO,3,1,4,4
201718,BO1EI4500G,SCUOLA PRIMARIA,1,1,14,8
201718,FI1M010001,SCUOLA SECONDARIA I GRADO,3,1,16,13
201718,RC1E00400C,SCUOLA PRIMARIA,5,1,11,8
201718,BG1E02300T,SCUOLA PRIMARIA,1,2,27,25
201718,TO1E047001,SCUOLA PRIMARIA,4,2,20,17
201718,CSPMSA5002,SCUOLA SECONDARIA II GRADO,5,1,1,3
201718,MERH015005,SCUOLA SECONDARIA II GRADO,5,1,18,12
201718,TO1M02900L,SCUOLA SECONDARIA I GRADO,1,1,13,7
201718,NAPSZI500L,SCUOLA SECONDARIA II GRADO,5,1,15,8
201718,SA1E016009,SCUOLA PRIMARIA,4,1,6,15
201718,NATA0L500I,SCUOLA SECONDARIA II GRADO,3,1,1,1
201718,VR1E00200B,SCUOLA PRIMARIA,2,1,12,10
201718,LC1E009004,SCUOLA PRIMARIA,5,1,15,8
201718,MI1E03100B,SCUOLA PRIMARIA,4,3,35,37
201718,CTPM21500B,SCUOLA SECONDARIA II GRADO,4,1,3,1
201718,TV1M00500C,SCUOLA SECONDARIA I GRADO,1,1,10,4
201718,NA1E11600Q,SCUOLA PRIMARIA,5,1,8,4
201718,VT1M00500P,SCUOLA SECONDARIA I GRADO,2,1,8,2
201718,NA1E270009,SCUOLA PRIMARIA,1,1,13,7
201718,NAPMS6500L,SCUOLA SECONDARIA II GRADO,3,1,1,6
201718,MIPL335009,SCUOLA SECONDARIA II GRADO,4,2,13,38
201718,PVPL045003,SCUOLA SECONDARIA II GRADO,4,1,1,7
201718,TA1E009007,SCUOLA PRIMARIA,1,1,10,13
201718,TO1E6R5003,SCUOLA PRIMARIA,2,2,17,17
201718,FI1E026009,SCUOLA PRIMARIA,1,1,10,14
201718,RMPLB3500E,SCUOLA SECONDARIA II GRADO,4,1,5,7
201718,RMPSV5500M,SCUOLA SECONDARIA II GRADO,1,1,1,0
201718,VA1E00700C,SCUOLA PRIMARIA,5,2,12,11
201718,SA1E00100G,SCUOLA PRIMARIA,1,1,8,3
201718,FI1E00300L,SCUOLA PRIMARIA,2,1,8,15
201718,UD1E00600B,SCUOLA PRIMARIA,3,2,14,8
201718,RM1E12400N,SCUOLA PRIMARIA,2,1,11,13
201718,NASLNI500R,SCUOLA SECONDARIA II GRADO,4,2,0,10
201718,MI1MVA500E,SCUOLA SECONDARIA I GRADO,3,2,29,13
201718,VIPM01500B,SCUOLA SECONDARIA II GRADO,1,2,14,10
